num_chars,num_words,num_unique_words,num_sentences,avg_sentence_length,avg_word_length,lexical_density,type_token_ratio,hapax_legomena,hapax_percentage,author,category,is_machado,file_name
15277,2965,790,97,30.567010309278352,4.471925754060325,0.5234338747099768,0.3665893271461717,556,25.80046403712297,Machado de Assis,cr├нtica,1,iracema.txt
24078,4406,1069,210,20.98095238095238,4.6517552034793415,0.5225225225225225,0.3320907114010562,742,23.050636843740293,Machado de Assis,cr├нtica,1,ideiasTeatro.txt
18052,3417,1042,145,23.56551724137931,4.488906497622821,0.5855784469096672,0.41283676703645006,773,30.625990491283677,Machado de Assis,cr├нtica,1,guilhermeMalta.txt
10782,2074,668,93,22.301075268817204,4.4855072463768115,0.5158102766798419,0.4400527009222661,509,33.53096179183136,Machado de Assis,cr├нtica,1,guarani.txt
5754,1114,370,42,26.523809523809526,4.405372405372406,0.5054945054945055,0.4517704517704518,273,33.33333333333333,Machado de Assis,cr├нtica,1,peregrinacao.txt
11252,2177,593,54,40.31481481481482,4.470438652256834,0.5079465988556897,0.37698664971392243,412,26.191989828353464,Machado de Assis,cr├нtica,1,cantosFantasias.txt
4051,786,313,32,24.5625,4.371859296482412,0.5376884422110553,0.52428810720268,237,39.698492462311556,Machado de Assis,cr├нtica,1,eduardo.txt
4280,857,313,40,21.425,4.378205128205129,0.5032051282051282,0.5016025641025641,238,38.141025641025635,Machado de Assis,cr├нtica,1,nevoasMatutinas.txt
4861,931,324,36,25.86111111111111,4.355882352941176,0.49558823529411766,0.4764705882352941,240,35.294117647058826,Machado de Assis,cr├нtica,1,fagundes.txt
84103,16474,2763,548,30.062043795620436,4.417688942266449,0.5305824826284636,0.23702496354121988,1768,15.166852534957536,Machado de Assis,cr├нtica,1,novaGeracao.txt
10630,1972,552,58,34.0,4.50761421319797,0.48295866569978246,0.4002900652646846,395,28.64394488759971,Machado de Assis,cr├нtica,1,idealCritico.txt
6592,1213,391,47,25.80851063829787,4.770101925254814,0.5164212910532276,0.44280860702151753,288,32.61608154020385,Machado de Assis,cr├нtica,1,lira20Anos.txt
33145,6550,1432,226,28.98230088495575,4.393294648613797,0.5095637223296797,0.3077584354180099,973,20.91124006017623,Machado de Assis,cr├нtica,1,primoBasilio.txt
13121,2496,732,99,25.21212121212121,4.45733969263381,0.501854795972443,0.38791732909379967,515,27.291997880233176,Machado de Assis,cr├нtica,1,contituinteSombraLuz.txt
6801,1327,465,47,28.23404255319149,4.5041322314049586,0.5351239669421488,0.48037190082644626,352,36.36363636363637,Machado de Assis,cr├нtica,1,joaquim_1.txt
33038,6333,1429,241,26.278008298755186,4.436195394878416,0.5205508930492792,0.30751022164837527,969,20.852162685603616,Machado de Assis,cr├нtica,1,henriquieta.txt
9689,1833,569,74,24.77027027027027,4.508915304606241,0.5148588410104011,0.4227340267459138,424,31.50074294205052,Machado de Assis,cr├нtica,1,diarioRJ.txt
8533,1755,573,67,26.19402985074627,4.290271132376396,0.5422647527910686,0.4569377990430622,432,34.44976076555024,Machado de Assis,cr├нtica,1,magalhaes.txt
1659,338,152,12,28.166666666666668,4.134920634920635,0.5,0.6031746031746031,130,51.587301587301596,Machado de Assis,cr├нtica,1,tiposQuadros.txt
4980,1001,375,34,29.441176470588236,4.288888888888889,0.5045751633986928,0.49019607843137253,288,37.64705882352941,Machado de Assis,cr├нtica,1,garrett.txt
9317,1761,564,60,29.35,4.467571644042232,0.5128205128205128,0.4253393665158371,433,32.65460030165912,Machado de Assis,cr├нtica,1,revelacoes.txt
12942,2467,695,83,29.72289156626506,4.518704634282524,0.5276381909547738,0.3880513679508654,499,27.86152987158012,Machado de Assis,cr├нtica,1,inspiracoesClaustro.txt
5812,1177,391,34,34.61764705882353,4.385441527446301,0.5417661097852029,0.4665871121718377,292,34.84486873508354,Machado de Assis,cr├нtica,1,sinfonias.txt
